# qpkg_filename                  package_name         version      arch   short_path                               hash
OliveTin_250926_arm-x19.qpkg     OliveTin             250926       a19    sherpa.packages/QPKGs/OliveTin/build     552b5336c290b8ee984b35436928dc4c
OliveTin_250926_arm-x31.qpkg     OliveTin             250926       a31    sherpa.packages/QPKGs/OliveTin/build     924abb8a3187b94762e66f868d45a772
OliveTin_250926_arm-x41.qpkg     OliveTin             250926       a41    sherpa.packages/QPKGs/OliveTin/build     ca73d6d9d1d322790b05525d80c585b8
OliveTin_250926_x86_64.qpkg      OliveTin             250926       i64    sherpa.packages/QPKGs/OliveTin/build     579dcdf2da0149737fb25c4dfcef9bbc
OMedusa_250926_arm_64.qpkg       OMedusa              250926       a64    sherpa.packages/QPKGs/OMedusa/build      f683eca221630f945c0a2cc5e70fbc1c
OMedusa_250926_arm-x19.qpkg      OMedusa              250926       a19    sherpa.packages/QPKGs/OMedusa/build      f784541f71e9567fcbad2c05a1d78dff
OMedusa_250926_arm-x31.qpkg      OMedusa              250926       a31    sherpa.packages/QPKGs/OMedusa/build      70d543d80e714244ed6ec8b1bad12a1f
OMedusa_250926_arm-x41.qpkg      OMedusa              250926       a41    sherpa.packages/QPKGs/OMedusa/build      ebbab04fb6f6de46023ca51e22379b1f
OMedusa_250926_x86_64.qpkg       OMedusa              250926       i64    sherpa.packages/QPKGs/OMedusa/build      19f14d3d940f0a334352021b03814c21
OMedusa_250926_x86_ce53xx.qpkg   OMedusa              250926       i53    sherpa.packages/QPKGs/OMedusa/build      e089c002f3321123aab3cf33ed332b90
OMedusa_250926_x86.qpkg          OMedusa              250926       i86    sherpa.packages/QPKGs/OMedusa/build      68f3a0590d6ad011a5c0fe4c88157d4a
OqBittorrent_250926.qpkg         OqBittorrent         250926       all    sherpa.packages/QPKGs/OqBittorrent/build a82ea333b546aec8f4402385ad3af499
OReadarr_250926_arm_64.qpkg      OReadarr             250926       a64    sherpa.packages/QPKGs/OReadarr/build     a90e57696b794c5e802eb4980f72923b
OReadarr_250926_x86_64.qpkg      OReadarr             250926       i64    sherpa.packages/QPKGs/OReadarr/build     00d35063f1ed71d6c6c4f6e2c8125a14
OSickGear_250926_arm_64.qpkg     OSickGear            250926       a64    sherpa.packages/QPKGs/OSickGear/build    adacc4de6c753ee17ebed09130febc43
OSickGear_250926_arm-x19.qpkg    OSickGear            250926       a19    sherpa.packages/QPKGs/OSickGear/build    d1e27abb54fa2be85aca1138be8f4395
OSickGear_250926_arm-x31.qpkg    OSickGear            250926       a31    sherpa.packages/QPKGs/OSickGear/build    2e9a5db87b5df8f585b487394a27bc7b
OSickGear_250926_arm-x41.qpkg    OSickGear            250926       a41    sherpa.packages/QPKGs/OSickGear/build    e8b2f725450647d0eb130acb86b671eb
OSickGear_250926_x86_64.qpkg     OSickGear            250926       i64    sherpa.packages/QPKGs/OSickGear/build    e223f3e973535e05431a25591c44677f
OSickGear_250926_x86_ce53xx.qpkg OSickGear            250926       i53    sherpa.packages/QPKGs/OSickGear/build    b2c4ccaa8839a7c055957822aa23ad29
OSickGear_250926_x86.qpkg        OSickGear            250926       i86    sherpa.packages/QPKGs/OSickGear/build    ca6fc9b7ed396876f02f3670bb031e20
OSonarr_250926_arm_64.qpkg       OSonarr              250926       a64    sherpa.packages/QPKGs/OSonarr/build      ebc8615a1db9dcb16b096017bc66043d
OSonarr_250926_x86_64.qpkg       OSonarr              250926       i64    sherpa.packages/QPKGs/OSonarr/build      a0b77ed17d7620b8de2d7a27f0f20019
OTautulli_250926_arm_64.qpkg     OTautulli            250926       a64    sherpa.packages/QPKGs/OTautulli/build    7171455b885c8cbb42151d6f92983727
OTautulli_250926_arm-x19.qpkg    OTautulli            250926       a19    sherpa.packages/QPKGs/OTautulli/build    1274889a8cd1c9c4fc93c0e16a470834
OTautulli_250926_arm-x31.qpkg    OTautulli            250926       a31    sherpa.packages/QPKGs/OTautulli/build    ef0c505a09873449eb36c74eaadc6b65
OTautulli_250926_arm-x41.qpkg    OTautulli            250926       a41    sherpa.packages/QPKGs/OTautulli/build    c7c66c6ec59deba4d168d31fd58adb98
OTautulli_250926_x86_64.qpkg     OTautulli            250926       i64    sherpa.packages/QPKGs/OTautulli/build    ebfdef950c43848641d68b7334b78ff7
OTautulli_250926_x86_ce53xx.qpkg OTautulli            250926       i53    sherpa.packages/QPKGs/OTautulli/build    074982ae600400c2ba91b3caff3b0f17
OTautulli_250926_x86.qpkg        OTautulli            250926       i86    sherpa.packages/QPKGs/OTautulli/build    ef8b463e70e883e3d328d05f718ac6a8
OTransmission_250926.qpkg        OTransmission        250926       all    sherpa.packages/QPKGs/OTransmission/build a62330e1df279520b669fc3041ceaed2
OWatcher3_250926_arm_64.qpkg     OWatcher3            250926       a64    sherpa.packages/QPKGs/OWatcher3/build    d99b260ea4e3947f68e42a31e0f5d6d0
OWatcher3_250926_arm-x19.qpkg    OWatcher3            250926       a19    sherpa.packages/QPKGs/OWatcher3/build    fc42cc38582f2f5cc4cb847261294b22
OWatcher3_250926_arm-x31.qpkg    OWatcher3            250926       a31    sherpa.packages/QPKGs/OWatcher3/build    d315a8d096500b363a402b52f24130c4
OWatcher3_250926_arm-x41.qpkg    OWatcher3            250926       a41    sherpa.packages/QPKGs/OWatcher3/build    572fb269e5385ff62f262c9eee64041b
OWatcher3_250926_x86_64.qpkg     OWatcher3            250926       i64    sherpa.packages/QPKGs/OWatcher3/build    284220cdfbc929068dd0928e233e172b
OWatcher3_250926_x86_ce53xx.qpkg OWatcher3            250926       i53    sherpa.packages/QPKGs/OWatcher3/build    81beea9600cf71084252e6439d7361ff
