# checksum_filename                  qpkg_filename                    package_name         version      arch   short_path                               hash
OLidarr_250919_arm_64.qpkg.md5       OLidarr_250919_arm_64.qpkg       OLidarr              250919       a64    sherpa.packages/QPKGs/OLidarr/build      6d3a85acb96380631c1ce264b44ef800
OLidarr_250919_x86_64.qpkg.md5       OLidarr_250919_x86_64.qpkg       OLidarr              250919       i64    sherpa.packages/QPKGs/OLidarr/build      443f831fac479544bb9618ff3bcb3543
OliveTin_250919_arm_64.qpkg.md5      OliveTin_250919_arm_64.qpkg      OliveTin             250919       a64    sherpa.packages/QPKGs/OliveTin/build     3dd8b7a8398eb3115cbc799a043c680a
OliveTin_250919_arm-x19.qpkg.md5     OliveTin_250919_arm-x19.qpkg     OliveTin             250919       a19    sherpa.packages/QPKGs/OliveTin/build     30283f859b8e90060aebc1147bb68e88
OliveTin_250919_arm-x31.qpkg.md5     OliveTin_250919_arm-x31.qpkg     OliveTin             250919       a31    sherpa.packages/QPKGs/OliveTin/build     9d23f036265f9eeb9a1fb9e40613af0d
OliveTin_250919_arm-x41.qpkg.md5     OliveTin_250919_arm-x41.qpkg     OliveTin             250919       a41    sherpa.packages/QPKGs/OliveTin/build     bdeaabc4bd20583c5574719e1a82d0bf
OliveTin_250919_x86_64.qpkg.md5      OliveTin_250919_x86_64.qpkg      OliveTin             250919       i64    sherpa.packages/QPKGs/OliveTin/build     a323ec71b28c7fa920144ad17c08ba16
OMedusa_250919_arm_64.qpkg.md5       OMedusa_250919_arm_64.qpkg       OMedusa              250919       a64    sherpa.packages/QPKGs/OMedusa/build      322c2a6aa53beb2aa42bc09224040fac
OMedusa_250919_arm-x19.qpkg.md5      OMedusa_250919_arm-x19.qpkg      OMedusa              250919       a19    sherpa.packages/QPKGs/OMedusa/build      4eb37ee257c8297897534336d70c1e67
OMedusa_250919_arm-x31.qpkg.md5      OMedusa_250919_arm-x31.qpkg      OMedusa              250919       a31    sherpa.packages/QPKGs/OMedusa/build      5f89695adfac5bee4c644e38cee506ff
OMedusa_250919_arm-x41.qpkg.md5      OMedusa_250919_arm-x41.qpkg      OMedusa              250919       a41    sherpa.packages/QPKGs/OMedusa/build      2051521079ee25951f9421bfefaa8f6a
OMedusa_250919_x86_64.qpkg.md5       OMedusa_250919_x86_64.qpkg       OMedusa              250919       i64    sherpa.packages/QPKGs/OMedusa/build      afddec5ab498037dca7e846c70bca6e1
OMedusa_250919_x86_ce53xx.qpkg.md5   OMedusa_250919_x86_ce53xx.qpkg   OMedusa              250919       i53    sherpa.packages/QPKGs/OMedusa/build      e05e9ddc07e754393edc2522f8691243
OMedusa_250919_x86.qpkg.md5          OMedusa_250919_x86.qpkg          OMedusa              250919       i86    sherpa.packages/QPKGs/OMedusa/build      f21d54bb467b34a0e052549624398483
OqBittorrent_250919.qpkg.md5         OqBittorrent_250919.qpkg         OqBittorrent         250919       all    sherpa.packages/QPKGs/OqBittorrent/build b0c3bded842b33277e776000a9da461d
OReadarr_250919_arm_64.qpkg.md5      OReadarr_250919_arm_64.qpkg      OReadarr             250919       a64    sherpa.packages/QPKGs/OReadarr/build     8a6564e851d72634f6fa161f0675d868
OReadarr_250919_x86_64.qpkg.md5      OReadarr_250919_x86_64.qpkg      OReadarr             250919       i64    sherpa.packages/QPKGs/OReadarr/build     58179175ee55e8b516573769d95c63b1
